,INTERCOLUMNAR_DISTANCE,UPPER_MARGIN,LOWER_MARGIN,EXPLOITATION,MODULAR_RATIO,INTERLINEAR_SPACING,WEIGHT,PEAK_NUMBER,CLASS
2660,-0.190648,-0.063555,0.441898,1.289493,1.103861,0.597681,0.346428,0.843621,E
2661,-0.00549,0.486028,0.118265,0.446569,-0.183409,0.597681,0.285561,0.344717,G
2665,0.290762,0.109171,-0.112901,0.221262,0.979286,0.673182,-1.294775,-0.590727,A
2668,0.303106,0.022808,0.146717,-1.815842,-0.474083,-0.006326,-1.717099,-0.528364,A
2669,0.229043,-0.369751,0.484575,0.250174,0.14879,0.408929,1.071341,0.40708,A
2670,-0.190648,-0.691649,0.28186,-0.194472,-0.723232,0.408929,-0.12956,1.03071,E
2672,0.043885,0.407516,0.047137,0.460921,0.14879,0.106925,0.445816,-0.154186,F
2673,-0.462213,0.352558,0.150273,0.56049,0.14879,0.257927,-0.689073,-0.185368,E
2675,0.179667,-0.330495,0.530808,-0.314183,-0.349509,0.446679,-0.805585,-0.65309,A
2677,-0.091897,0.226939,0.267634,0.024091,-1.013906,0.408929,0.3434,0.781258,H
2679,0.31545,-0.047852,0.14316,-0.574788,0.231839,0.408929,0.327556,0.064084,A
2682,-0.116585,0.423218,0.086258,1.919136,-0.681707,0.144676,1.706477,0.62535,G
2684,-0.153617,-0.22843,0.488131,0.580183,0.937762,0.484429,0.470687,-0.029461,A
2688,0.130292,-0.024299,0.246296,0.121006,0.190314,-0.308329,-0.045685,-0.154186,A
2689,-0.128929,0.572391,-0.031104,0.319399,-0.141884,0.257927,0.719457,0.594169,G
2690,0.105604,-0.087108,0.367214,1.522618,1.311485,0.484429,0.20854,-0.43482,A
2692,0.019197,-0.173471,0.306755,-0.081535,-0.266459,0.295677,-0.315656,0.313536,F
2693,0.15498,0.595945,0.036468,-0.126143,0.356414,0.446679,-0.448109,-0.123005,A
2694,-0.06721,0.462474,0.10404,0.463129,-0.515608,0.371178,0.826513,0.032902,F
2695,-0.079554,-0.291239,0.388552,0.855618,-0.10036,0.069175,0.757258,0.282354,F
2698,-0.042522,0.2976,0.079145,1.500568,-0.557133,0.106925,1.058275,-0.341275,F
2699,0.364825,-0.047852,-0.038216,0.327813,0.06574,0.220177,-0.944269,-1.089631,A
2700,-0.030178,-0.189174,0.242739,-0.408799,-0.224934,0.333428,-1.148286,-0.091823,F
2703,0.031541,0.446772,0.072032,0.600056,-0.183409,-0.006326,0.744774,0.718895,F
2705,-0.16596,-0.267686,0.256965,0.051662,1.26996,0.52218,-0.827912,-0.403638,A
2706,0.105604,0.10132,0.246296,0.08708,0.356414,0.371178,0.887924,0.344717,A
2707,0.043885,0.407516,0.047137,0.460921,0.14879,-0.006326,0.008425,-0.216549,F
2708,-0.091897,0.226939,0.267634,0.024091,-0.681707,0.106925,0.378464,0.781258,H
2709,0.15498,-0.448263,0.356544,-0.003837,-1.096956,-0.232828,-0.561669,-0.715453,F
2711,-0.560964,0.329004,0.296086,0.755571,0.480988,0.031425,0.580267,0.344717,E
2712,0.056229,0.533135,0.185837,0.882801,0.024215,0.257927,1.228159,-0.029461,A
2713,0.500607,-0.220579,-0.03466,0.497323,-0.141884,0.484429,0.744444,0.064084,A
2716,0.192011,0.509582,0.079145,1.072093,0.480988,0.484429,0.480492,0.032902,A
2717,0.142636,0.203385,-0.006209,-0.834827,2.100457,0.786433,-0.833465,-0.43482,A
2718,-0.030178,-0.220579,0.242739,1.988271,0.937762,-0.270579,0.996437,0.344717,A
2719,0.080916,0.313302,0.079145,0.588985,-0.432558,0.597681,0.325188,-0.216549,F
2721,-0.017834,0.23479,-0.180472,0.621032,1.26996,0.55993,0.048713,-0.123005,F
2722,0.056229,-0.09496,0.228514,-0.658066,-0.01731,-0.270579,0.485676,0.126447,F
2723,-0.252367,0.281897,0.146717,-0.082938,-1.055431,0.106925,0.223801,1.03071,E
2724,0.216699,-0.424709,0.306755,-0.043283,-0.10036,0.484429,0.285464,0.032902,A
2725,0.043885,0.407516,-0.120014,0.281743,0.979286,0.446679,0.465328,0.18881,A
2726,-0.351118,0.014957,0.214288,0.736624,-0.391033,0.106925,1.089417,0.500624,E
2727,-0.079554,-0.173471,0.367214,0.324501,0.356414,-0.195078,-0.243839,0.064084,F
2731,0.241386,-0.322644,0.310311,0.49055,1.685209,0.635431,-0.485134,-0.247731,A
2732,-0.030178,-0.063555,0.285416,-1.278877,-0.723232,-0.081827,0.487287,-0.746634,F
2734,-0.301743,0.195534,0.381439,0.351116,-0.681707,0.446679,0.142392,0.687713,E
2735,0.068573,0.007106,0.288973,0.592954,1.26996,0.748682,-0.048481,-0.123005,H
2737,-0.042522,0.187683,0.224957,0.290963,-0.01731,0.333428,0.030113,0.126447,A
2741,0.377169,0.164129,0.139604,-0.241825,-0.806282,0.106925,-0.38064,0.095265,A
2743,-0.091897,0.344707,0.182281,0.722749,0.231839,0.408929,1.006475,0.937165,H
2744,0.167323,0.690159,-0.08445,-0.009059,0.06574,0.257927,0.194755,0.001721,F
2745,0.006853,-0.055704,0.335206,1.778897,0.190314,0.031425,0.890681,0.375899,A
2746,0.130292,0.533135,-0.045329,-0.942602,-0.515608,0.295677,-0.67323,0.064084,G
2748,0.401857,-0.267686,0.299642,-0.808002,-0.681707,-0.006326,-0.979489,-0.060642,F
2749,0.192011,0.242641,0.164499,0.576722,-0.889332,0.295677,-0.339071,-0.840179,A
2750,0.056229,0.187683,-0.031104,-0.958476,-0.391033,0.748682,0.071991,-0.621908,F
2753,0.303106,-0.134216,-0.002652,-0.624558,0.356414,0.333428,-1.738689,-0.964905,A
2754,0.241386,-0.43256,0.349432,-1.029281,-0.474083,0.408929,-0.009786,0.032902,F
2755,-0.437525,-0.471816,0.463236,-0.545248,1.809783,0.446679,-1.428043,-0.746634,E
2759,0.056229,0.486028,0.10404,-0.053338,0.024215,0.106925,-0.338664,0.313536,G
2765,0.117948,0.171981,0.217845,1.738109,-0.01731,-0.081827,1.460193,0.531806,A
2766,0.031541,-0.040001,0.175168,-0.107256,-0.432558,-0.195078,-0.294164,0.219991,F
2767,0.056229,0.486028,0.10404,-0.053338,-0.058835,0.673182,-0.238927,0.126447,G
2768,-0.030178,-0.346197,0.235627,-1.08105,-0.847807,0.371178,-0.277758,0.999528,E
2769,0.266074,-0.134216,0.214288,-0.229323,-0.640182,0.446679,-0.192621,0.001721,F
2771,-0.030178,0.438921,-0.045329,0.766462,-0.474083,0.144676,0.795468,0.40708,A
2772,-0.202992,0.36826,0.388552,0.915832,-0.307984,0.295677,1.155429,0.500624,D
2773,0.080916,-0.244132,0.214288,-0.37914,0.647088,0.031425,-0.864472,-0.43482,F
2774,0.09326,0.10132,0.313868,0.756586,-0.515608,-0.157328,1.073477,0.469443,A
2775,0.192011,0.242641,0.164499,0.576722,0.854712,0.295677,-0.089098,-0.123005,A
2776,0.179667,-0.047852,0.274747,-0.605223,-0.930856,-0.308329,-0.289446,0.095265,F
2784,-0.079554,-0.173471,0.367214,0.324501,0.896237,0.182426,-0.610033,-0.278912,F
2785,0.056229,0.054213,0.392108,-0.02896,-0.681707,0.786433,0.739746,0.843621,H
2786,0.25373,0.219088,0.14316,0.720541,1.43606,0.899684,-0.386736,0.251173,A
2787,0.31545,-0.236281,0.37077,0.812174,-0.183409,0.408929,1.26734,0.531806,A
2788,0.192011,-0.03215,0.452567,-0.877078,-0.058835,0.484429,-1.119959,-0.372457,A
2791,0.216699,-0.424709,0.306755,-0.043283,0.024215,0.182426,0.261486,-0.185368,A
2792,-0.190648,-0.691649,0.28186,-0.194472,-0.432558,0.295677,0.976361,0.687713,E
2794,-0.042522,-0.110662,0.40989,1.097277,0.522513,0.295677,1.450951,0.40708,A
2798,-0.116585,0.281897,0.175168,-0.15249,-0.806282,0.371178,0.168098,0.843621,E
2801,-0.437525,-0.471816,0.463236,-0.545248,0.688613,0.748682,-1.891722,-0.123005,E
2802,0.068573,0.289748,0.107596,1.267115,0.314889,0.371178,0.907611,0.001721,A
2803,0.080916,-0.142067,0.171611,-0.470713,-0.307984,0.824183,0.650629,0.375899,F
2805,0.043885,-0.157769,0.328093,0.552225,0.647088,0.144676,0.267854,-0.185368,A
2806,-0.252367,-0.401156,0.466793,0.631147,0.273364,0.748682,-0.040424,0.874802,E
2810,-0.153617,-0.03215,0.271191,0.057241,0.730137,0.144676,-0.384698,-0.310094,A
2811,0.142636,0.43107,0.032912,-0.486796,-0.640182,0.55993,-1.160692,-0.029461,G
2813,0.142636,0.486028,0.025799,0.545422,-0.764757,0.031425,-0.749435,-1.151994,A
2816,0.142636,-0.369751,0.413447,0.301347,-0.058835,-0.006326,0.361592,-0.154186,F
2817,-0.486901,-0.03215,0.196506,-0.633748,0.14879,-0.459331,-0.266632,0.843621,C
2818,-0.128929,0.211237,0.075589,0.526356,0.730137,-0.081827,-0.502996,-1.089631,A
2822,-0.017834,-0.275537,0.388552,0.949727,1.020811,0.220177,-0.230268,-0.310094,F
2823,-0.153617,-0.22843,0.488131,0.580183,0.522513,0.333428,1.436468,0.375899,A
2829,0.389513,0.556689,0.431229,-1.955514,-0.058835,-0.006326,0.279193,-0.590727,A
2830,-0.030178,0.022808,0.157386,-0.771451,0.979286,-0.270579,-1.620314,-0.372457,H
2831,0.290762,0.156278,0.136047,1.401386,0.771662,-0.232828,0.926619,0.18881,A
2834,0.09326,0.344707,0.14316,-0.026574,-0.806282,0.257927,0.54697,0.064084,G
2835,0.031541,-0.040001,0.175168,-0.107256,-0.557133,-0.006326,-0.025668,-0.091823,F
2836,0.006853,-0.267686,0.40989,0.565443,0.190314,0.031425,0.242575,0.032902,F
2837,0.080916,0.203385,0.249852,-0.423061,-0.307984,0.673182,-0.486105,0.157628,H
2838,0.303106,-0.134216,-0.002652,-0.624558,1.519109,0.55993,-1.729603,-0.684271,A
2842,-0.178304,-0.189174,0.264078,-0.640492,0.813187,0.446679,0.897244,-0.154186,A
2843,0.31545,-0.236281,0.37077,0.812174,-0.10036,0.371178,0.594285,-0.216549,A
2845,0.130292,-0.456114,0.292529,0.202672,0.024215,0.446679,-0.137812,-0.341275,A
2848,-0.314087,-0.236281,0.029355,0.460861,-0.681707,0.182426,-0.510432,0.064084,A
2849,0.229043,-0.354049,0.182281,0.210878,0.314889,0.484429,-0.067489,-0.154186,A
2851,-0.190648,-0.063555,0.441898,1.289493,0.522513,0.031425,0.55992,0.718895,E
2853,0.192011,0.226939,0.118265,-0.472443,-0.183409,0.257927,0.153595,0.064084,F
2856,0.327793,0.179832,0.157386,-0.508846,1.020811,0.333428,0.493345,0.656532,A
2858,0.068573,0.2976,0.022242,-0.22252,-1.138481,0.106925,0.704448,0.531806,G
2860,-0.462213,0.352558,0.150273,0.56049,0.647088,0.220177,0.120239,0.687713,E
2862,0.229043,0.109171,-0.066668,0.073324,0.688613,-0.081827,-0.240577,0.064084,A
2863,-0.128929,-0.511072,0.342319,0.170775,0.730137,0.55993,-0.378388,-0.091823,F
2864,0.15498,0.23479,0.210732,0.643738,0.06574,0.220177,0.917203,-0.216549,A
2866,0.068573,0.2976,0.022242,-0.22252,-0.972381,0.446679,-0.56695,0.251173,G
2867,-0.017834,-0.440412,0.267634,1.39515,0.273364,0.106925,1.093688,0.095265,A
2868,-0.104241,-0.338346,0.384996,-0.096275,-0.557133,0.484429,0.525322,0.968347,E
2870,0.080916,-0.244132,0.214288,-0.37914,0.397939,0.408929,-0.566271,0.095265,F
2871,0.031541,0.666605,-0.095119,0.010217,0.439463,0.257927,0.832357,0.687713,G
2872,0.15498,-0.471816,0.50947,1.205082,0.273364,0.144676,1.305394,0.40708,A
2876,-0.00549,-0.322644,0.100483,-0.519439,-0.681707,0.220177,-0.64568,-0.497183,A
2877,-0.079554,0.187683,-0.070224,0.211236,1.228436,0.182426,-0.590928,0.251173,A
2878,0.068573,0.007106,0.288973,0.592954,0.190314,0.748682,0.543553,0.937165,H
2879,-0.264711,-0.448263,0.431229,-1.121421,-0.557133,-0.38383,-0.060849,-0.466001,F
2881,-0.104241,0.022808,0.377883,1.279945,1.020811,0.069175,0.246595,0.750076,X
2882,0.15498,-0.322644,0.175168,0.126526,0.439463,0.069175,0.280144,-0.123005,A
2883,-0.22768,0.446772,0.534365,0.177429,-0.474083,0.257927,0.439933,0.750076,E
2884,-0.264711,-0.275537,0.107596,0.827362,-0.141884,0.446679,0.809408,0.687713,A
2885,-0.042522,-0.322644,0.310311,0.287293,0.397939,-0.044076,-0.236966,-0.43482,F
2888,-0.264711,-0.275537,0.107596,0.827362,0.937762,0.144676,0.435351,0.18881,A
2889,-0.017834,-0.354049,0.42056,-0.176032,-0.432558,0.031425,-0.736757,0.126447,F
2890,0.241386,-0.157769,0.338762,-1.203923,0.06574,0.295677,0.980361,-0.185368,A
2893,0.15498,-0.322644,0.175168,0.126526,0.14879,0.257927,0.347515,0.064084,A
2895,0.229043,-0.181323,0.23207,-0.893459,0.356414,0.371178,-0.828806,-0.372457,F
2897,0.019197,0.077766,0.349432,-0.356523,0.273364,0.220177,0.04815,0.032902,H
2899,-0.06721,-0.197025,0.299642,-1.66337,-0.307984,0.144676,-0.028173,0.375899,F
2902,0.241386,-0.43256,0.349432,-1.029281,-0.764757,0.257927,0.113541,0.219991,F
2906,-0.091897,0.344707,0.182281,0.722749,0.397939,-0.006326,-0.653679,-0.528364,H
2907,0.09326,0.10132,0.313868,0.756586,0.480988,0.710932,0.662103,-0.123005,A
2908,-0.314087,0.164129,0.200063,0.132493,0.937762,0.182426,-0.712216,0.40708,E
2909,0.377169,-0.079257,0.153829,-1.102952,1.726734,0.144676,-0.347517,-0.497183,A
2910,-0.264711,-0.126364,0.235627,0.176773,1.975883,-0.006326,0.015745,-0.216549,A
2914,0.438888,0.289748,0.14316,-0.282494,0.231839,-0.044076,-1.006166,-0.185368,A
2915,0.09326,-0.267686,0.168055,-0.383884,0.14879,0.635431,-0.198096,0.219991,A
2918,0.117948,-0.29909,0.473906,-0.204438,-0.058835,0.144676,-0.030755,-0.185368,A
2919,0.117948,-0.291239,0.306755,0.255993,0.06574,0.673182,0.160138,-0.091823,A
2920,-0.264711,-0.275537,0.384996,1.343918,1.186911,0.182426,0.395006,0.18881,A
2921,0.389513,0.376111,0.018686,-0.690978,0.356414,0.55993,-0.1063,0.18881,A
2922,0.043885,0.195534,0.260522,-0.393821,-0.557133,0.710932,1.233052,0.438262,G
2923,0.056229,-0.730905,0.441898,0.183695,0.06574,-0.044076,0.115735,-0.154186,A
2924,-0.252367,0.062064,0.171611,-0.420108,-0.930856,0.031425,-0.219414,0.344717,E
2927,0.229043,-0.354049,0.182281,0.210878,1.228436,0.333428,-0.340333,0.126447,A
2928,0.15498,-0.275537,0.417003,0.813815,-0.141884,-0.044076,-0.016135,-0.65309,A
2931,-0.079554,0.313302,0.139604,0.295528,0.356414,0.106925,0.149226,0.157628,A
2933,-0.437525,0.423218,0.388552,0.620852,-1.013906,0.295677,1.646348,0.687713,E
2934,0.080916,-0.126364,0.360101,-0.587947,0.314889,0.446679,0.516663,-0.091823,F
2935,-0.104241,-0.079257,0.011573,0.220903,0.605563,0.484429,0.277814,0.40708,A
2936,0.229043,0.124874,0.182281,0.686496,1.311485,0.371178,-0.233413,-0.123005,A
2939,0.229043,-0.22843,0.324537,-0.869141,-1.096956,0.333428,-0.513674,-0.185368,F
2941,0.019197,0.077766,0.349432,-0.356523,-0.141884,0.371178,0.247565,0.656532,H
2942,0.130292,-0.463965,0.338762,0.26578,0.14879,0.786433,0.394404,-0.029461,A
2943,-0.042522,-0.29909,0.182281,1.151314,-0.307984,0.220177,1.487608,0.438262,A
2946,-0.042522,0.540986,0.253409,-0.836378,1.35301,0.182426,-0.034113,-0.216549,A
2947,-0.128929,-0.409007,0.175168,-0.256565,-0.224934,0.824183,1.491472,1.155435,E
2948,0.056229,0.007106,0.406334,0.455401,1.145386,0.673182,0.066847,0.469443,A
2949,-0.153617,-0.087108,0.299642,0.689629,-0.474083,0.333428,-0.479115,-0.996086,F
2951,0.019197,-0.016448,0.324537,-0.20781,-0.640182,0.55993,-0.480241,0.781258,H
2952,0.229043,0.124874,0.182281,0.686496,2.100457,0.144676,-1.107844,-0.684271,A
2953,0.364825,-0.149918,0.171611,0.04277,-0.432558,0.52218,0.73429,-0.029461,F
2954,0.117948,0.266195,0.043581,-0.590035,1.519109,0.748682,-1.201717,-0.933723,F
2956,0.056229,0.533135,0.185837,0.882801,0.854712,0.710932,0.2112,0.219991,A
2958,0.15498,-0.471816,0.50947,1.205082,0.813187,0.824183,0.202327,0.157628,A
2959,-0.202992,0.203385,0.33165,-1.115215,-0.10036,0.257927,0.2484,0.718895,D
2961,-0.486901,-0.03215,0.196506,-0.633748,0.647088,0.673182,-0.551476,0.313536,C
2962,-0.00549,-0.660245,0.345875,-0.270589,1.26996,0.220177,-0.926019,-0.341275,A
2963,-0.116585,-0.016448,0.288973,0.483747,-0.183409,0.371178,1.15807,0.344717,F
2964,0.117948,-0.291239,0.306755,0.255993,-0.10036,0.220177,0.316606,-0.216549,A
2966,-0.252367,0.069915,0.246296,0.52355,1.186911,0.031425,0.404286,0.718895,E
2967,-0.264711,-0.275537,0.384996,1.343918,0.397939,0.031425,1.018299,-0.185368,A
2969,0.019197,-0.118513,0.345875,-1.086511,-0.806282,0.333428,-0.076498,-0.278912,F
2970,0.019197,0.588093,0.260522,-1.348758,0.564038,0.106925,-0.670998,0.064084,A
2971,0.117948,-0.291239,0.306755,0.255993,-0.224934,0.295677,0.226344,-0.029461,A
2972,-0.00549,0.760819,-0.095119,-0.016936,0.854712,0.182426,-1.22255,0.001721,F
2973,0.056229,0.007106,0.406334,0.455401,0.231839,0.333428,0.246711,0.282354,A
2975,-0.017834,0.132725,0.125378,1.357345,0.107265,0.408929,1.174651,-0.216549,A
2976,-0.079554,-0.173471,0.367214,0.324501,1.26996,0.446679,-0.411976,0.001721,F
2978,0.15498,-0.385453,0.381439,0.314237,-0.224934,-0.195078,-0.58654,-0.247731,F
2979,0.006853,-0.267686,0.40989,0.565443,0.06574,0.106925,0.318665,0.157628,F
2980,0.006853,-0.668096,0.477462,1.62168,1.311485,0.635431,0.117326,-0.964905,A
2983,-0.104241,-0.456114,0.484575,0.143802,-0.10036,0.220177,0.155439,-0.123005,F
2984,0.130292,-0.126364,0.377883,0.755362,-0.349509,-0.006326,0.502276,0.18881,A
2985,0.019197,0.093469,0.473906,1.897295,0.854712,0.52218,0.315849,1.03071,X
2986,-0.128929,0.572391,-0.031104,0.319399,0.564038,0.673182,0.5493,0.531806,G
2987,0.068573,0.148427,0.111153,0.179577,-0.349509,-0.195078,-0.884159,-1.151994,A
2990,-0.054866,-0.024299,0.079145,0.136282,-0.058835,0.484429,0.469444,0.064084,F
2993,0.130292,-0.071406,0.214288,0.915742,0.231839,0.220177,0.90831,0.032902,A
2994,0.056229,0.124874,0.136047,0.14974,0.730137,-0.081827,-0.385086,0.032902,A
2996,-0.079554,-0.173471,0.367214,0.324501,0.356414,0.182426,-0.000117,-0.060642,F
2997,0.15498,-0.236281,0.01513,0.558909,0.771662,0.408929,-0.79512,-0.808997,A
2998,-0.054866,0.203385,0.05425,-0.028782,0.314889,0.673182,0.156021,0.157628,G
3001,-0.079554,-0.338346,0.40989,0.129748,0.647088,0.333428,-0.884373,0.001721,A
3003,0.25373,0.219088,0.14316,0.720541,-0.349509,0.182426,0.948189,0.126447,A
3006,0.080916,0.588093,0.01513,0.00225,-0.474083,0.52218,0.384502,0.18881,F
3008,-0.560964,0.329004,0.296086,0.755571,1.394535,0.408929,0.166253,0.750076,E
3009,-0.277055,0.030659,0.441898,0.131866,-0.474083,0.144676,0.1295,0.62535,D
3010,0.229043,-0.369751,0.484575,0.250174,0.273364,0.635431,0.442651,0.251173,A
3015,0.09326,0.10132,0.313868,0.756586,0.522513,0.371178,0.046227,0.157628,A
3018,0.09326,-0.212727,0.260522,-0.527256,-0.515608,0.446679,0.61473,0.251173,F
3019,0.340137,0.399665,0.207175,-0.724993,-0.474083,0.673182,-0.411685,0.251173,A
3020,-0.00549,0.054213,0.32098,0.804804,-0.972381,-0.044076,0.64527,1.311343,X
3022,-0.202992,0.36826,0.388552,0.915832,-0.889332,-0.006326,1.46132,0.531806,D
3023,-0.178304,-0.189174,0.264078,-0.640492,0.273364,0.371178,1.346458,0.18881,A
3026,-0.00549,0.305451,0.018686,-0.04009,-0.391033,0.257927,0.299987,-0.278912,A
3028,0.229043,-0.354049,0.182281,0.210878,-0.058835,0.295677,0.252691,-0.403638,A
3030,-0.116585,0.423218,0.086258,1.919136,0.190314,0.144676,-0.774074,0.251173,G
3031,0.290762,0.109171,-0.112901,0.221262,1.643684,0.333428,-0.879169,-0.65309,A
3034,0.117948,0.289748,0.392108,-1.747095,0.024215,0.52218,0.998553,-0.154186,A
3039,-0.017834,0.132725,0.125378,1.357345,0.356414,0.069175,0.75918,-0.310094,A
3040,-0.017834,-0.047852,0.093371,-0.139302,0.356414,0.861934,0.132179,0.001721,A
3041,-0.22768,-0.503221,0.406334,-0.671732,0.356414,0.144676,-0.616557,-0.497183,E
3042,-0.054866,-0.024299,0.079145,0.136282,0.314889,0.710932,0.079059,-0.154186,F
3043,-0.178304,0.014957,0.264078,0.582361,1.394535,0.069175,-0.721613,-0.43482,A
3046,-0.128929,0.211237,0.075589,0.526356,-0.391033,0.144676,1.12388,-0.154186,A
3047,0.192011,-0.03215,0.452567,-0.877078,-0.01731,0.220177,0.170952,0.157628,A
3050,-0.22768,-0.503221,0.406334,-0.671732,-0.847807,-0.044076,1.152925,0.62535,E
3053,0.019197,0.525284,0.068476,0.166658,-0.266459,0.182426,0.513847,0.344717,F
3054,0.068573,0.2976,0.022242,-0.22252,-0.224934,0.333428,-0.010563,0.562987,G
3055,0.068573,0.148427,0.111153,0.179577,0.688613,0.220177,-0.563125,-0.185368,A
3057,0.080916,0.10132,0.10404,0.14049,-0.10036,0.031425,-1.275768,-1.183175,A
3059,-0.314087,-0.157769,0.043581,1.051505,1.26996,0.635431,0.193532,0.62535,E
3060,-0.153617,-0.22843,0.488131,0.580183,1.103861,0.55993,0.746425,-0.154186,A
3061,0.043885,-0.173471,0.285416,-0.775121,0.024215,0.446679,0.592169,0.095265,F
3062,0.290762,0.156278,0.136047,1.401386,0.730137,0.257927,1.397054,0.469443,A
3063,0.105604,0.556689,-0.031104,0.619301,-0.764757,0.257927,-0.114921,-0.310094,A
3073,-0.091897,0.344707,0.182281,0.722749,1.519109,0.55993,-0.81436,0.157628,H
3075,-0.042522,0.007106,0.264078,-0.162546,-1.055431,0.106925,0.680858,0.781258,E
3078,0.500607,-0.220579,-0.03466,0.497323,0.397939,0.484429,-0.120939,-0.185368,A
3080,0.167323,0.690159,-0.08445,-0.009059,1.768258,0.333428,-1.361021,-0.590727,F
3081,0.130292,0.077766,0.299642,-0.693335,0.730137,0.635431,-0.438265,-0.247731,A
3083,0.192011,-0.259834,0.402778,-0.06593,0.107265,0.257927,-0.068848,-0.123005,A
3084,-0.301743,0.352558,0.288973,1.638181,0.356414,0.106925,1.360242,1.093072,E
3085,0.327793,0.336855,-0.020434,1.086893,0.605563,0.597681,0.907203,0.375899,A
3086,-0.116585,0.423218,0.086258,1.919136,-0.141884,0.182426,0.93289,0.282354,G
3091,-0.240024,-0.534626,0.075589,-0.617039,0.273364,0.371178,-0.751804,0.251173,E
3094,0.105604,-0.377602,0.260522,0.107578,0.107265,0.597681,-0.482823,-0.497183,F
3095,-0.314087,-0.063555,0.42056,0.003921,-0.640182,-0.232828,0.156119,0.18881,D
3096,0.019197,0.077766,0.349432,-0.356523,0.314889,0.144676,-0.32649,0.126447,H
3098,0.117948,0.556689,-0.009765,-0.57261,-0.681707,0.144676,-0.284437,0.032902,F
3100,-0.079554,-0.338346,0.40989,0.129748,-0.349509,0.408929,0.949316,0.40708,A
3101,-0.437525,0.423218,0.388552,0.620852,0.107265,-0.044076,1.717564,1.155435,E
3104,-0.128929,0.211237,0.075589,0.526356,-0.432558,0.069175,0.138218,-0.777816,A
3105,0.056229,0.054213,0.392108,-0.02896,-1.180006,0.031425,0.460338,0.375899,H
3107,-0.252367,0.281897,0.146717,-0.082938,1.519109,0.182426,-0.714837,0.219991,E
3108,-0.042522,0.10132,0.288973,0.722153,0.024215,0.597681,0.172913,-0.403638,A
3111,0.15498,0.23479,0.210732,0.643738,0.896237,0.257927,0.537379,0.126447,A
3112,0.09326,0.423218,0.022242,-0.203782,0.522513,-0.119577,0.961838,0.40708,A
3114,-0.091897,-0.142067,0.324537,0.65821,-0.806282,-0.119577,0.137829,-0.590727,F
3115,-0.264711,0.156278,0.402778,1.483948,-1.30458,0.069175,0.940229,0.999528,X
3116,-0.32643,-0.079257,0.239183,0.566935,1.020811,0.597681,0.408266,0.531806,E
3117,-0.141273,-0.055704,0.207175,0.246982,-0.889332,0.220177,0.630301,0.157628,F
3119,0.09326,0.148427,0.171611,0.970704,0.314889,0.295677,0.815466,0.032902,A
3122,0.031541,0.195534,0.246296,0.627208,-0.723232,-0.308329,-0.783762,0.064084,H
3123,0.080916,0.650903,-0.023991,0.472826,0.730137,-0.006326,-0.692956,-0.310094,A
3124,0.179667,-0.047852,0.274747,-0.605223,0.771662,0.899684,-1.587987,-0.621908,F
3127,0.241386,0.23479,0.121822,1.037988,0.979286,0.861934,-0.035182,0.001721,A
3129,-0.560964,0.329004,0.296086,0.755571,0.107265,0.144676,1.146538,0.718895,E
3132,-0.104241,-0.456114,0.484575,0.143802,-0.349509,0.408929,0.196444,-0.341275,F
3134,0.266074,0.164129,0.118265,0.320234,-0.474083,0.182426,-0.422169,-0.777816,A
3135,-0.301743,-0.055704,0.210732,-0.147477,1.062336,-0.081827,-1.33349,-0.123005,E
3137,0.031541,-0.040001,0.175168,-0.107256,1.934358,0.144676,-1.311414,-0.621908,F
3140,-0.128929,-0.322644,0.288973,0.764881,-0.764757,0.333428,1.08103,0.500624,F
3141,-0.215336,0.250492,0.473906,1.187089,1.35301,0.144676,-0.616945,0.469443,X
3143,-0.190648,-0.063555,0.441898,1.289493,0.439463,-0.308329,0.151866,0.874802,E
3144,0.15498,-0.322644,0.175168,0.126526,-0.432558,0.182426,0.298356,-0.247731,A
3145,0.080916,-0.071406,0.160942,1.225521,-0.515608,0.257927,1.642795,1.093072,A
3147,0.229043,-0.369751,0.484575,0.250174,-0.10036,0.597681,0.484103,0.313536,A
3161,0.130292,-0.126364,0.377883,0.755362,0.024215,0.446679,-0.37598,0.251173,A
3163,0.006853,0.077766,0.342319,-0.12859,0.107265,0.031425,-0.378,0.032902,F
3164,0.031541,0.140576,0.399221,-0.817372,-0.640182,0.55993,0.608497,0.656532,H
3165,-0.215336,-0.204876,0.456124,-0.099826,-0.723232,-0.157328,0.28859,0.251173,E
3166,-0.00549,0.486028,0.118265,0.446569,-1.138481,0.106925,0.068089,-0.341275,G
3167,0.179667,-0.173471,0.121822,-1.139205,1.519109,-0.308329,-1.097806,-0.746634,A
3171,0.068573,-0.197025,0.032912,0.615571,-0.183409,0.408929,0.868819,0.18881,A
3173,0.241386,-0.322644,0.310311,0.49055,0.896237,-0.308329,-0.217356,-0.154186,A
3177,0.105604,0.10132,0.246296,0.08708,0.937762,0.333428,0.22514,0.251173,A
3180,-0.079554,-0.291239,0.388552,0.855618,0.937762,0.144676,0.734542,-0.123005,F
3181,0.303106,-0.134216,-0.002652,-0.624558,0.14879,0.333428,-0.312996,0.126447,A
3182,0.500607,-0.220579,-0.03466,0.497323,-0.391033,0.333428,0.454087,0.001721,A
3184,0.31545,-0.047852,0.14316,-0.574788,0.688613,0.52218,-0.378349,0.001721,A
3185,-0.104241,-0.055704,0.299642,0.391249,1.768258,0.371178,-1.04721,-0.590727,A
